date,event,id,name,type,details
4/1/08,Monitor recommends the MOA be terminated early,16,District of Columbia Metropolitan Police Department,moa edit,Monitor recommends the MOA be terminated early
2/10/12,Memorandum of agreement ends,16,District of Columbia Metropolitan Police Department,moa end,Memorandum of agreement ends
2/5/99,"Amadou Diallo, 22, fatally shot by plainclothes officers",17,New York City Police Department (Southern District),flag,"Amadou Diallo, a 22-year-old immigrant from Guinea, is shot and killed by four NYPD officers"
3/17/99,DOJ investigation,17,New York City Police Department (Southern District),investigation start,DOJ investigation
3/31/05,Closed without agreement,17,New York City Police Department (Southern District),investigation end,Closed without agreement
12/2/98,County prosecutor investigation finds systemic misconduct,18,Charleston Police Department,flag,"An investigation by Kanawha County prosecutor Bill Forbes finds officers participated in racial discrimination, negligence, and lawlessness"
12/8/98,Mayor Kemp Melton asks DOJ for investigation,18,Charleston Police Department,flag,Charleston Mayor Kemp Melton requests DOJ investigation
3/31/99,DOJ investigation,18,Charleston Police Department,investigation start,DOJ investigation
11/12/03,Closed without agreement,18,Charleston Police Department,investigation end,Closed without agreement
12/28/98,"Tyisha Miller, 19, was fatally shot by police",19,Riverside Police Department,flag,"A black woman, Tyisha Miller, 19, is shot 23 times while awaiting medical attention in a parked car"
6/29/99,DOJ investigation,19,Riverside Police Department,investigation start,DOJ investigation
3/26/07,Closed without agreement,19,Riverside Police Department,investigation end,Closed without agreement
7/1/99,DOJ investigation,20,Prince George's County Police Department,investigation start,DOJ investigation
3/1/04,DOJ investigation findings announced,20,Prince George's County Police Department,investigation end,DOJ investigation findings announced
3/1/04,Consent decree begins,20,Prince George's County Police Department,consent start,Consent decree begins
3/12/07,Consent decree ends,20,Prince George's County Police Department,consent end,Consent decree ends
10/16/98,"Steven House, 34, severely beaten by police",21,Cleveland Police Department,flag,"Steven House, 34, is severely beaten after leading police on car chase"
12/18/98,Mayor Michael R. White asks DOJ for investigation,21,Cleveland Police Department,flag,Mayor Michael R. White requests DOJ investigation
10/1/99,DOJ investigation,21,Cleveland Police Department,investigation start,DOJ investigation
7/23/02,"DOJ investigation findings announced, technical assistance letter issued",21,Cleveland Police Department,investigation end,"DOJ investigation findings announced, technical assistance letter issued"
7/23/02,Negotiations,21,Cleveland Police Department,negotiation start,Negotiations
2/1/04,Negotiations end,21,Cleveland Police Department,negotiation end,Negotiations end
2/1/04,Memorandum of agreement,21,Cleveland Police Department,moa start,Memorandum of agreement
3/15/05,Memorandum of agreement ends,21,Cleveland Police Department,moa end,Memorandum of agreement ends
3/1/13,DOJ Investigation,63,Cleveland Police Department,investigation start,DOJ Investigation
12/4/14,DOJ investigation findings announced,63,Cleveland Police Department,investigation end,DOJ investigation findings announced
12/4/14,Negotiations,63,Cleveland Police Department,negotiation start,Negotiations
11/1/95,"Javier Martinez fired from police force, claims racial discrimination",22,Mt. Prospect Police Department,flag,Javier Martinez alleges racial discrimination after being fired from Mt. Prospect police force
1/18/00,Judge asks DOJ for investigation,22,Mt. Prospect Police Department,flag,U.S. District Judge Ruben Castilla requests DOJ investigation
1/1/00,DOJ investigation,22,Mt. Prospect Police Department,investigation start,DOJ investigation
1/22/03,DOJ investigation findings announced,22,Mt. Prospect Police Department,investigation end,DOJ investigation findings announced
1/22/03,Memorandum of agreement,22,Mt. Prospect Police Department,moa start,Memorandum of agreement
12/28/06,Memorandum of agreement ends,22,Mt. Prospect Police Department,moa end,Memorandum of agreement ends
11/29/99,5 officers police department for widespread misconduct,23,Highland Park Police Department,flag,Five current and former officers file a federal lawsuit alleging widespread misconduct
3/22/00,Rev. Jesse Jackson calls for DOJ investigation,23,Highland Park Police Department,flag,Rev. Jesse Jackson requests DOJ investigation
5/8/00,DOJ investigation,23,Highland Park Police Department,investigation start,DOJ investigation
4/1/01,DOJ investigation findings announced,23,Highland Park Police Department,investigation end,DOJ investigation findings announced
4/1/01,Memorandum of agreement,23,Highland Park Police Department,moa start,Memorandum of agreement
12/7/04,Memorandum of agreement ends,23,Highland Park Police Department,moa end,Memorandum of agreement ends
11/27/99,"Gary A. Hopkins Jr., 19, fatally shot by police",24,Prince George's County Police Department,flag,"Gary A. Hopkins Jr., 19-year-old college student, is fatally shot without provocation"
10/1/00,DOJ investigation,24,Prince George's County Police Department,investigation start,DOJ investigation
1/22/04,DOJ investigation findings announced,24,Prince George's County Police Department,investigation end,DOJ investigation findings announced
1/22/04,"DOJ files complaint, proposes consent decree",24,Prince George's County Police Department,complaint,"DOJ files complaint, proposes consent decree"
1/22/04,Memorandum of agreement,24,Prince George's County Police Department,moa start,Memorandum of agreement
1/13/09,Parties filed joint motion to terminate agreement,24,Prince George's County Police Department,moa edit,Parties filed joint motion to terminate agreement
1/13/09,Memorandum of agreement ends,24,Prince George's County Police Department,moa end,Memorandum of agreement ends
8/29/00,"Errol Shaw Sr., 48, fatally shot by police",25,Detroit Police Department,flag,"Errol Shaw Sr., a 48-year-old who cannot hear or speak, is fatally shot by police"
9/8/00,"Dwight Turner, 49, fatally shot by police",25,Detroit Police Department,flag,"Dwight Turner, 49, is fatally shot by police"
9/22/00,Detroit mayor asks DOJ for investigation of police,25,Detroit Police Department,flag,Detroit Mayor Dennis Archer requests DOJ investigation
12/1/00,DOJ investigation,25,Detroit Police Department,investigation start,DOJ investigation
6/12/03,DOJ investigation findings announced,25,Detroit Police Department,investigation end,DOJ investigation findings announced
6/12/03,DOJ files complaint,25,Detroit Police Department,complaint,DOJ files complaint
6/18/03,Detroit City Council files countermotion,25,Detroit Police Department,countersuit,Detroit City Council files countermotion
6/12/03,Consent decree begins,25,Detroit Police Department,consent start,"Entered into two consent judgments, one on Use of Force and Arrest and Witness Detention, the other relating to Conditions of Confinement"
7/24/09,Independent monitor resigns,25,Detroit Police Department,,Sheryl Robinson Wood resigns as monitor
8/25/14,"Consent decree ends, transition agreement begins",25,Detroit Police Department,consent end,Consent decree ends
8/25/14,Transition agreement,25,Detroit Police Department,negotiation start,Transition agreement
2/8/01,Investigation open,26,Tulsa Police Department,investigation start,Investigation open
7/21/08,Closed without agreement,26,Tulsa Police Department,investigation end,Closed without agreement
4/1/01,Mayor of Cincinnati requests DOJ investigation,27,Cincinnati Police Department,flag,Mayor of Cincinnati requests DOJ investigation
5/7/01,DOJ investigation,27,Cincinnati Police Department,investigation start,DOJ investigation
4/12/02,DOJ investigation findings announced,27,Cincinnati Police Department,investigation end,DOJ investigation findings announced
4/12/02,Memorandum of agreement,27,Cincinnati Police Department,moa start,Memorandum of agreement
7/25/06,Memorandum of agreement amended,27,Cincinnati Police Department,moa edit,"Joint amendment to extend the MOA, terminated completed goals"
4/12/07,Memorandum of agreement ends,27,Cincinnati Police Department,moa end,Memorandum of agreement ends
4/24/01,Council members request DOJ investigation,28,Schenectady Police Department,flag,Councilmen Joseph L. Allen and David L. Bouck request DOJ investigation
4/4/02,DOJ investigation,28,Schenectady Police Department,investigation start,DOJ investigation
1/9/13,Ends with technical assistance letter,28,Schenectady Police Department,investigation end,"Investigation ends without lawsuit, DOJ issues technical assistance letter"
6/18/11,"Jason Cox beaten on camera, files lawsuit",29,Portland Police Department,flag,Surveillance camera footage shows Jason Cox being beaten during an arrest
1/22/02,City officials ask for DOJ investigation,29,Portland Police Department,flag,"City launches its own review after an excessive force lawsuit ends in a $600,000 settlement"
5/6/02,DOJ investigation,29,Portland Police Department,investigation start,DOJ investigation
6/27/05,Closed without agreement,29,Portland Police Department,investigation end,Closed without agreement
1/21/02,"Eddie Macklin, 20, fatally shot by police while driving stolen car",30,Miami Police Department,flag,"Eddie Macklin, 20, is fatally shot by police while driving stolen car"
1/24/02,U.S. Rep. Carrie Meek asks for DOJ investigation,30,Miami Police Department,flag,U.S. Rep. Carrie Meek requests DOJ investigation
5/31/02,DOJ investigation,30,Miami Police Department,investigation start,DOJ investigation
3/13/03,Technical assistance letter,30,Miami Police Department,TA,Technical assistance letter
5/19/06,Closed without agreement,30,Miami Police Department,investigation end,Closed without agreement
8/3/11,Mayor Tomas Regalado asks for DOJ investigation following string of fatal shootings,56,Miami Police Department,flag,Mayor Tomas Regalado requests DOJ investigation
11/16/11,DOJ investigation,56,Miami Police Department,investigation start,DOJ investigation
7/9/13,DOJ investigation findings announced,56,Miami Police Department,investigation end,DOJ investigation findings announced
7/9/13,Negotiations,56,Miami Police Department,negotiation start,Negotiations
1/28/00,"Shooting death of off-duty Officer Cornel Young Jr., a black man, by two white officers",31,Providence Police Department,flag,"Off-duty, black Officer Cornel Young Jr. is killed by two white officers"
12/11/02,DOJ investigation,31,Providence Police Department,investigation start,DOJ investigation
3/26/08,Closed without agreement,31,Providence Police Department,investigation end,Closed without agreement
1/27/03,DOJ investigation,32,Villa Rica Police Department,investigation start,DOJ investigation
12/23/03,,32,Villa Rica Police Department,investigation end,
12/23/03,Memorandum of agreement,32,Villa Rica Police Department,moa start,Memorandum of agreement
12/23/06,Memorandum of agreement ends,32,Villa Rica Police Department,moa end,Memorandum of agreement ends
3/4/03,DOJ investigation,33,Alabaster Police Department,investigation start,DOJ investigation
9/7/05,Closed without agreement,33,Alabaster Police Department,investigation end,Closed without agreement
6/24/03,DOJ investigation,34,Bakersfield Police Department,investigation start,DOJ investigation
1/25/08,Closed without agreement,34,Bakersfield Police Department,investigation end,Closed without agreement
2/13/04,DOJ investigation,35,Virgin Islands Police Department,investigation start,DOJ investigation
10/5/05,DOJ issues technical assistance letter,35,Virgin Islands Police Department,TA,DOJ issues technical assistance letter
12/23/08,DOJ files complaint,35,Virgin Islands Police Department,investigation end,DOJ files complaint
12/23/08,Negotiations,35,Virgin Islands Police Department,negotiation start,Negotiations
3/24/09,,35,Virgin Islands Police Department,negotiation end,
3/24/09,Consent decree begins,35,Virgin Islands Police Department,consent start,Consent decree begins
10/1/13,Consent decree timetable extended,35,Virgin Islands Police Department,consent edit,Consent decree timetable extended
8/3/04,DOJ investigation,36,Beacon Police Department,investigation start,DOJ investigation
6/21/05,Technical assistance letter,36,Beacon Police Department,TA,Technical assistance letter
11/14/08,Technical assistance letter,36,Beacon Police Department,TA,Technical assistance letter
12/23/10,DOJ investigation findings announced,36,Beacon Police Department,investigation end,DOJ investigation findings announced
12/23/10,Memorandum of agreement,36,Beacon Police Department,moa start,Memorandum of agreement
6/28/03,"Lyndal Kimble beaten by three officers, caught on video",37,Warren Police Department,flag,Video shows three officers slamming unarmed Lyndal Kimble on the ground and using a chemical spray to subdue him
11/29/04,DOJ investigation,37,Warren Police Department,investigation start,DOJ investigation
3/2/06,Technical assistance letter,37,Warren Police Department,TA,Technical assistance letter
1/13/12,DOJ investigation findings announced,37,Warren Police Department,investigation end,DOJ investigation findings announced
1/13/12,DOJ files lawsuit against Warren,37,Warren Police Department,complaint,DOJ files lawsuit against Warren
1/13/12,Negotiations,37,Warren Police Department,negotiation start,Negotiations
1/26/12,EMPTY CELL,37,Warren Police Department,negotiation end,
1/26/12,Consent decree begins,37,Warren Police Department,consent start,Consent decree begins
3/25/05,Officer Jesse Sollman is fatally shot by police,38,Easton Police Department,flag,Officer Jesse Sollman is fatally shot inside the Easton Police Department
10/14/05,DOJ investigation,38,Easton Police Department,investigation start,DOJ investigation
1/9/06,Technical assistance letter,38,Easton Police Department,TA,Technical assistance letter
11/26/07,Technical assistance letter,38,Easton Police Department,TA,Technical assistance letter
1/21/10,DOJ investigation findings announced,38,Easton Police Department,investigation end,DOJ investigation findings announced
1/21/10,Negotiations,38,Easton Police Department,negotiation start,Negotiations
8/6/10,,38,Easton Police Department,negotiation end,
8/6/10,Memorandum of agreement,38,Easton Police Department,moa start,Memorandum of agreement
1/1/07,String of deaths from officers' use of Tasers,39,Orange County Sheriff's Office,flag,"Between 2001 and 2008, five people are killed after deputies fire Tasers at them; a related lawsuit is filed in January 2007"
1/10/07,DOJ investigation,39,Orange County Sheriff's Office,investigation start,DOJ investigation
9/16/10,DOJ investigation findings announced,39,Orange County Sheriff's Office,investigation end,DOJ investigation findings announced
9/16/10,Memorandum of agreement,39,Orange County Sheriff's Office,moa start,Memorandum of agreement
4/4/13,Memorandum of agreement ends,39,Orange County Sheriff's Office,moa end,Memorandum of agreement ends
6/11/02,"Sophia King, 23, fatally shot by police",40,Austin Police Department,flag,"Sophia King, 23, is fatally shot by police"
6/14/03,"Jessie Lee Owens, 20, fatally shot by police",40,Austin Police Department,flag,"Jessie Lee Owens, 20, is fatally shot by police"
6/19/04,Austin NAACP and Texas Civil Rights Project ask DOJ for investigation,40,Austin Police Department,flag,Austin NAACP and Texas Civil Rights Project file first of many requests for DOJ investigation
5/31/07,DOJ investigation,40,Austin Police Department,investigation start,DOJ investigation
5/27/11,"DOJ investigation findings announced, technical assistance letter issued",40,Austin Police Department,investigation end,"DOJ investigation findings announced, technical assistance letter issued"
7/24/07,DOJ investigation,41,Yonkers Police Department,investigation start,DOJ investigation
6/9/09,DOJ issues technical assistance letter,41,Yonkers Police Department,TA,DOJ issues technical assistance letter
8/11/07,"Miguel Cšceres Cruz, 43, killed by officers, caught on video",42,Puerto Rico Police Department,flag,"Video shows Miguel Cruz, 43, being killed by three officers after a traffic dispute"
4/3/08,DOJ investigation,42,Puerto Rico Police Department,investigation start,DOJ investigation
9/8/11,DOJ investigation findings announced,42,Puerto Rico Police Department,investigation end,DOJ investigation findings announced
9/8/11,Negotiations,42,Puerto Rico Police Department,negotiation start,Negotiations
12/21/12,"DOJ files complaint, proposes consent decree",42,Puerto Rico Police Department,complaint,"DOJ files complaint, proposes consent decree"
12/27/12,Proceedings stayed to allow recently elected governor to familiarize,42,Puerto Rico Police Department,countersuit,Proceedings stayed to allow recently elected governor to familiarize
7/17/13,Negotiations end,42,Puerto Rico Police Department,negotiation end,Negotiations end
7/17/13,Consent decree begins,42,Puerto Rico Police Department,consent start,Consent decree begins
4/4/08,Phoenix Mayor Phil Gordon asks DOJ for investigation,43,Maricopa County Sheriff's Office,flag,High-profile sweeps of Latino neighborhoods cause Phoenix's mayor to request Justice Department investigation
6/1/08,DOJ investigation,43,Maricopa County Sheriff's Office,investigation start,DOJ investigation
9/2/10,DOJ files lawsuit for failure to comply,43,Maricopa County Sheriff's Office,countersuit,DOJ files lawsuit under Title VI for failure to comply with investigation
6/2/11,Maricopa settles lawsuit and agrees to cooperate,43,Maricopa County Sheriff's Office,,Maricopa settles lawsuit and agrees to cooperate
12/15/11,DOJ investigation findings announced,43,Maricopa County Sheriff's Office,investigation end,DOJ investigation findings announced
12/15/11,Negotiations,43,Maricopa County Sheriff's Office,negotiation start,Negotiations
5/10/12,DOJ files pattern-or-practice lawsuit,43,Maricopa County Sheriff's Office,complaint,DOJ files civil lawsuit in federal court
12/12/12,In litigation,43,Maricopa County Sheriff's Office,,In litigation
1/24/07,State and county officials raid Harvey Police Department for evidence of misconduct,44,Harvey Police Department,flag,State and county officials raid Harvey Police Department for evidence of misconduct and negligence
9/5/08,DOJ investigation,44,Harvey Police Department,investigation start,DOJ investigation
1/24/12,"Closed without agreement, technical assistance letter issued",44,Harvey Police Department,investigation end,"Closed without agreement, technical assistance letter issued"
11/20/08,DOJ investigation,45,Lorain Police Department,investigation start,DOJ investigation
5/22/12,Closed without agreement,45,Lorain Police Department,investigation end,Closed without agreement
7/2/03,Civil rights groups ask for DOJ investigation,46,Escambia County Sheriff's Office,flag,ACLU and Movement for Change request DOJ investigation
7/12/06,Civil rights groups ask for DOJ investigation,46,Escambia County Sheriff's Office,flag,Civil rights groups ask for DOJ investigation
1/9/09,DOJ investigation,46,Escambia County Sheriff's Office,investigation start,"Closed without agreement, technical assistance letter issued"
9/4/12,"Closed without agreement, Technical Assistance Letter issued",46,Escambia County Sheriff's Office,TA,
7/28/09,California Congresswoman Maxine Waters calls for DOJ investigation,47,Inglewood Police Department,flag,California Congresswoman Maxine Waters requests DOJ investigation
3/11/09,DOJ investigation,47,Inglewood Police Department,investigation start,DOJ investigation
12/28/09,"DOJ investigation findings announced, technical assistance letter issued",47,Inglewood Police Department,TA,"DOJ investigation findings announced, technical assistance letter issued"
11/25/08,LatinoJustice PRLDEF asks for DOJ investigation,48,Suffolk County Police Department,flag,LatinoJustice PRLDEF of New York requests DOJ investigation
9/9/09,DOJ investigation,48,Suffolk County Police Department,investigation start,DOJ investigation
9/13/11,Technical assistance letter,48,Suffolk County Police Department,TA,Technical assistance letter
1/13/14,DOJ investigation findings announced,48,Suffolk County Police Department,investigation end,DOJ investigation findings announced
1/13/14,Memorandum of agreement,48,Suffolk County Police Department,moa start,Memorandum of agreement
2/19/09,Rev. James Manship charged for videotaping officers,49,East Haven Police Department,flag,Rev. James Manship is charged for videotaping officers
3/6/09,St. Rose of Lima Church files complaint with the DOJ,49,East Haven Police Department,flag,St. Rose of Lima Church files complaint with the DOJ
9/30/09,DOJ investigation,49,East Haven Police Department,investigation start,DOJ investigation
12/12/11,DOJ investigation findings announced,49,East Haven Police Department,investigation end,DOJ investigation findings announced
12/12/11,Negotiations,49,East Haven Police Department,negotiation start,Negotiations
10/22/12,Letter of intent issued,49,East Haven Police Department,TA,Letter of intent issued
11/20/12,,49,East Haven Police Department,negotiation end,
11/20/12,"DOJ files complaint, consent decree begins",49,East Haven Police Department,consent start,"DOJ files complaint, consent decree begins"
1/1/10,Mayor invites DOJ to review the NOPD,50,New Orleans Police Department,flag,Mayor requests DOJ investigation
5/15/10,DOJ investigation,50,New Orleans Police Department,investigation start,DOJ investigation
3/17/11,DOJ investigation findings announced,50,New Orleans Police Department,investigation end,DOJ investigation findings announced
3/17/11,Negotiations,50,New Orleans Police Department,negotiation start,Negotiations
1/11/13,,50,New Orleans Police Department,negotiation end,
7/24/12,"DOJ files complaint, proposes consent decree",50,New Orleans Police Department,complaint,"DOJ files complaint, proposes consent decree"
1/11/13,District Court approves decree,50,New Orleans Police Department,consent start,District Court approves decree
1/31/13,City moves to stay the decree,50,New Orleans Police Department,countersuit,City moves to stay the decree
2/8/13,District Court denies city's motion,50,New Orleans Police Department,countersuit,District Court denies city's motion
4/5/09,Academic study finds racial profiling against Latinos,51,Alamance County Sheriff's Department,flag,Professor Laura Roselle at Elon University conducts a study showing racial discrimination against Latinos
6/2/10,DOJ investigation,51,Alamance County Sheriff's Department,investigation start,DOJ investigation
9/18/12,DOJ investigation findings announced,51,Alamance County Sheriff's Department,investigation end,DOJ investigation findings announced
9/18/12,Negotiations,51,Alamance County Sheriff's Department,negotiation start,Negotiations
12/20/12,DOJ files complaint,51,Alamance County Sheriff's Department,complaint,DOJ files complaint
8/30/10,"John T. Williams, 50, fatally shot by police ",52,Seattle Police Department,flag,"John T. Williams, 50, an unarmed man, fatally shot by police  "
12/2/10,ACLU and other groups ask for DOJ investigation,52,Seattle Police Department,flag,ACLU and 34 other community groups request DOJ investigation
3/31/11,DOJ investigation,52,Seattle Police Department,investigation start,DOJ investigation
12/16/11,DOJ investigation findings announced,52,Seattle Police Department,investigation end,DOJ investigation findings announced
12/16/11,Negotiations,52,Seattle Police Department,negotiation start,Negotiations
7/27/12,EMPTY CELL,52,Seattle Police Department,negotiation end,
7/27/12,"U.S. Attorney files lawsuit, consent decree begins",52,Seattle Police Department,consent start,"U.S. Attorney files lawsuit, consent decree begins"
9/9/10,ACLU petitions for DOJ investigation,53,Newark Police Department,flag,"ACLU report alleges police misconduct, requests DOJ investigation"
5/9/11,DOJ investigation,53,Newark Police Department,investigation start,DOJ investigation
7/22/14,DOJ investigation findings announced,53,Newark Police Department,investigation end,DOJ investigation findings announced
1/16/15,"Negotiations ongoing, DOJ issues request for court monitor applications",53,Newark Police Department,negotiation start,"Negotiations ongoing, DOJ issues request for court monitor applications"
9/7/06,"James P. Chasse Jr., 42, dies in police custody",54,Portland Police Bureau,flag,"James P. Chasse Jr., a 42-year-old mentally ill man, dies in police custody"
1/29/10,Aaron Campbell fatally shot by officer,54,Portland Police Bureau,flag,Aaron Campbell is fatally shot by an officer
